序号,所在目录,标题,标题末尾,标题链接,标题链接末尾路径,标签,网站题解链接,github 题解链接,通过率,难度,题解数目
0582,0500-0599,0582. 杀掉进程,杀掉进程,https://leetcode.com/problems/kill-process/,kill-process,树、深度优先搜索、广度优先搜索、数组、哈希表,https://2xiao.github.io/fe/leetcode/problem/0582,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0582.md,45.9%,中等,188
0583,0500-0599,0583. 两个字符串的删除操作,两个字符串的删除操作,https://leetcode.com/problems/delete-operation-for-two-strings/,delete-operation-for-two-strings,字符串、动态规划,https://2xiao.github.io/fe/leetcode/problem/0583,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0583.md,66.6%,中等,918
0584,0500-0599,0584. 寻找用户推荐人,寻找用户推荐人,https://leetcode.com/problems/find-customer-referee/,find-customer-referee,数据库,https://2xiao.github.io/fe/leetcode/problem/0584,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0584.md,65.4%,简单,436
0585,0500-0599,0585. 2016年的投资,2016年的投资,https://leetcode.com/problems/investments-in-2016/,investments-in-2016,数据库,https://2xiao.github.io/fe/leetcode/problem/0585,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0585.md,47.7%,中等,190
0586,0500-0599,0586. 订单最多的客户,订单最多的客户,https://leetcode.com/problems/customer-placing-the-largest-number-of-orders/,customer-placing-the-largest-number-of-orders,数据库,https://2xiao.github.io/fe/leetcode/problem/0586,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0586.md,69.5%,简单,357
0587,0500-0599,0587. 安装栅栏,安装栅栏,https://leetcode.com/problems/erect-the-fence/,erect-the-fence,几何、数组、数学,https://2xiao.github.io/fe/leetcode/problem/0587,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0587.md,60.9%,困难,139
0588,0500-0599,0588. 设计内存文件系统,设计内存文件系统,https://leetcode.com/problems/design-in-memory-file-system/,design-in-memory-file-system,设计、字典树、哈希表、字符串,https://2xiao.github.io/fe/leetcode/problem/0588,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0588.md,43.5%,困难,56
0589,0500-0599,0589. N 叉树的前序遍历,N 叉树的前序遍历,https://leetcode.com/problems/n-ary-tree-preorder-traversal/,n-ary-tree-preorder-traversal,栈、树、深度优先搜索,https://2xiao.github.io/fe/leetcode/problem/0589,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0589.md,76.5%,简单,1142
0590,0500-0599,0590. N 叉树的后序遍历,N 叉树的后序遍历,https://leetcode.com/problems/n-ary-tree-postorder-traversal/,n-ary-tree-postorder-traversal,栈、树、深度优先搜索,https://2xiao.github.io/fe/leetcode/problem/0590,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0590.md,78.7%,简单,918
0591,0500-0599,0591. 标签验证器,标签验证器,https://leetcode.com/problems/tag-validator/,tag-validator,栈、字符串,https://2xiao.github.io/fe/leetcode/problem/0591,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0591.md,52.1%,困难,197
0592,0500-0599,0592. 分数加减运算,分数加减运算,https://leetcode.com/problems/fraction-addition-and-subtraction/,fraction-addition-and-subtraction,数学、字符串、模拟,https://2xiao.github.io/fe/leetcode/problem/0592,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0592.md,59.8%,中等,478
0593,0500-0599,0593. 有效的正方形,有效的正方形,https://leetcode.com/problems/valid-square/,valid-square,几何、数学,https://2xiao.github.io/fe/leetcode/problem/0593,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0593.md,47.1%,中等,590
0594,0500-0599,0594. 最长和谐子序列,最长和谐子序列,https://leetcode.com/problems/longest-harmonious-subsequence/,longest-harmonious-subsequence,数组、哈希表、排序,https://2xiao.github.io/fe/leetcode/problem/0594,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0594.md,56.1%,简单,705
0595,0500-0599,0595. 大的国家,大的国家,https://leetcode.com/problems/big-countries/,big-countries,数据库,https://2xiao.github.io/fe/leetcode/problem/0595,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0595.md,66.8%,简单,594
0596,0500-0599,0596. 超过5名学生的课,超过5名学生的课,https://leetcode.com/problems/classes-more-than-5-students/,classes-more-than-5-students,数据库,https://2xiao.github.io/fe/leetcode/problem/0596,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0596.md,50.7%,简单,477
0597,0500-0599,0597. 好友申请 I：总体通过率,好友申请 I：总体通过率,https://leetcode.com/problems/friend-requests-i-overall-acceptance-rate/,friend-requests-i-overall-acceptance-rate,数据库,https://2xiao.github.io/fe/leetcode/problem/0597,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0597.md,43.2%,简单,126
0598,0500-0599,0598. 范围求和 II,范围求和 II,https://leetcode.com/problems/range-addition-ii/,range-addition-ii,数组、数学,https://2xiao.github.io/fe/leetcode/problem/0598,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0598.md,57.8%,简单,625
0599,0500-0599,0599. 两个列表的最小索引总和,两个列表的最小索引总和,https://leetcode.com/problems/minimum-index-sum-of-two-lists/,minimum-index-sum-of-two-lists,数组、哈希表、字符串,https://2xiao.github.io/fe/leetcode/problem/0599,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0599.md,56.7%,简单,740
0600,0600-0699,0600. 不含连续1的非负整数,不含连续1的非负整数,https://leetcode.com/problems/non-negative-integers-without-consecutive-ones/,non-negative-integers-without-consecutive-ones,动态规划,https://2xiao.github.io/fe/leetcode/problem/0600,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0600.md,49.5%,困难,314
0601,0600-0699,0601. 体育馆的人流量,体育馆的人流量,https://leetcode.com/problems/human-traffic-of-stadium/,human-traffic-of-stadium,数据库,https://2xiao.github.io/fe/leetcode/problem/0601,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0601.md,48.0%,困难,573
0602,0600-0699,0602. 好友申请 II ：谁有最多的好友,好友申请 II ：谁有最多的好友,https://leetcode.com/problems/friend-requests-ii-who-has-the-most-friends/,friend-requests-ii-who-has-the-most-friends,数据库,https://2xiao.github.io/fe/leetcode/problem/0602,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0602.md,61.1%,中等,164
0603,0600-0699,0603. 连续空余座位,连续空余座位,https://leetcode.com/problems/consecutive-available-seats/,consecutive-available-seats,数据库,https://2xiao.github.io/fe/leetcode/problem/0603,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0603.md,64.0%,简单,237
0604,0600-0699,0604. 迭代压缩字符串,迭代压缩字符串,https://leetcode.com/problems/design-compressed-string-iterator/,design-compressed-string-iterator,设计、数组、哈希表、字符串、迭代器,https://2xiao.github.io/fe/leetcode/problem/0604,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0604.md,38.7%,简单,93
0605,0600-0699,0605. 种花问题,种花问题,https://leetcode.com/problems/can-place-flowers/,can-place-flowers,贪心、数组,https://2xiao.github.io/fe/leetcode/problem/0605,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0605.md,32.3%,简单,1868
0606,0600-0699,0606. 根据二叉树创建字符串,根据二叉树创建字符串,https://leetcode.com/problems/construct-string-from-binary-tree/,construct-string-from-binary-tree,树、深度优先搜索、字符串、二叉树,https://2xiao.github.io/fe/leetcode/problem/0606,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0606.md,62.2%,简单,728
0607,0600-0699,0607. 销售员,销售员,https://leetcode.com/problems/sales-person/,sales-person,数据库,https://2xiao.github.io/fe/leetcode/problem/0607,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0607.md,68.2%,简单,396
0608,0600-0699,0608. 树节点,树节点,https://leetcode.com/problems/tree-node/,tree-node,数据库,https://2xiao.github.io/fe/leetcode/problem/0608,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0608.md,61.0%,中等,401
0609,0600-0699,0609. 在系统中查找重复文件,在系统中查找重复文件,https://leetcode.com/problems/find-duplicate-file-in-system/,find-duplicate-file-in-system,数组、哈希表、字符串,https://2xiao.github.io/fe/leetcode/problem/0609,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0609.md,52.4%,中等,159
0610,0600-0699,0610. 判断三角形,判断三角形,https://leetcode.com/problems/triangle-judgement/,triangle-judgement,数据库,https://2xiao.github.io/fe/leetcode/problem/0610,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0610.md,64.4%,简单,126
0611,0600-0699,0611. 有效三角形的个数,有效三角形的个数,https://leetcode.com/problems/valid-triangle-number/,valid-triangle-number,贪心、数组、双指针、二分查找、排序,https://2xiao.github.io/fe/leetcode/problem/0611,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0611.md,53.7%,中等,642
0612,0600-0699,0612. 平面上的最近距离,平面上的最近距离,https://leetcode.com/problems/shortest-distance-in-a-plane/,shortest-distance-in-a-plane,数据库,https://2xiao.github.io/fe/leetcode/problem/0612,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0612.md,65.0%,中等,103
0613,0600-0699,0613. 直线上的最近距离,直线上的最近距离,https://leetcode.com/problems/shortest-distance-in-a-line/,shortest-distance-in-a-line,数据库,https://2xiao.github.io/fe/leetcode/problem/0613,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0613.md,79.6%,简单,121
0614,0600-0699,0614. 二级关注者,二级关注者,https://leetcode.com/problems/second-degree-follower/,second-degree-follower,数据库,https://2xiao.github.io/fe/leetcode/problem/0614,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0614.md,37.3%,中等,107
0615,0600-0699,0615. 平均工资：部门与公司比较,平均工资：部门与公司比较,https://leetcode.com/problems/average-salary-departments-vs-company/,average-salary-departments-vs-company,数据库,https://2xiao.github.io/fe/leetcode/problem/0615,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0615.md,42.3%,困难,150
0616,0600-0699,0616. 给字符串添加加粗标签,给字符串添加加粗标签,https://leetcode.com/problems/add-bold-tag-in-string/,add-bold-tag-in-string,字典树、数组、哈希表、字符串、字符串匹配,https://2xiao.github.io/fe/leetcode/problem/0616,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0616.md,49.2%,中等,95
0617,0600-0699,0617. 合并二叉树,合并二叉树,https://leetcode.com/problems/merge-two-binary-trees/,merge-two-binary-trees,树、深度优先搜索、广度优先搜索、二叉树,https://2xiao.github.io/fe/leetcode/problem/0617,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0617.md,79.1%,简单,2362
0618,0600-0699,0618. 学生地理信息报告,学生地理信息报告,https://leetcode.com/problems/students-report-by-geography/,students-report-by-geography,数据库,https://2xiao.github.io/fe/leetcode/problem/0618,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0618.md,62.2%,困难,88
0619,0600-0699,0619. 只出现一次的最大数字,只出现一次的最大数字,https://leetcode.com/problems/biggest-single-number/,biggest-single-number,数据库,https://2xiao.github.io/fe/leetcode/problem/0619,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0619.md,48.3%,简单,184
0620,0600-0699,0620. 有趣的电影,有趣的电影,https://leetcode.com/problems/not-boring-movies/,not-boring-movies,数据库,https://2xiao.github.io/fe/leetcode/problem/0620,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0620.md,77.1%,简单,458
0621,0600-0699,0621. 任务调度器,任务调度器,https://leetcode.com/problems/task-scheduler/,task-scheduler,贪心、数组、哈希表、计数、排序、堆（优先队列）,https://2xiao.github.io/fe/leetcode/problem/0621,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0621.md,59.7%,中等,844
0622,0600-0699,0622. 设计循环队列,设计循环队列,https://leetcode.com/problems/design-circular-queue/,design-circular-queue,设计、队列、数组、链表,https://2xiao.github.io/fe/leetcode/problem/0622,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0622.md,47.1%,中等,1002
0623,0600-0699,0623. 在二叉树中增加一行,在二叉树中增加一行,https://leetcode.com/problems/add-one-row-to-tree/,add-one-row-to-tree,树、深度优先搜索、广度优先搜索、二叉树,https://2xiao.github.io/fe/leetcode/problem/0623,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0623.md,60.1%,中等,655
0624,0600-0699,0624. 数组列表中的最大距离,数组列表中的最大距离,https://leetcode.com/problems/maximum-distance-in-arrays/,maximum-distance-in-arrays,贪心、数组,https://2xiao.github.io/fe/leetcode/problem/0624,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0624.md,40.8%,中等,96
0625,0600-0699,0625. 最小因式分解,最小因式分解,https://leetcode.com/problems/minimum-factorization/,minimum-factorization,贪心、数学,https://2xiao.github.io/fe/leetcode/problem/0625,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0625.md,34.6%,中等,70
0626,0600-0699,0626. 换座位,换座位,https://leetcode.com/problems/exchange-seats/,exchange-seats,数据库,https://2xiao.github.io/fe/leetcode/problem/0626,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0626.md,67.9%,中等,601
0627,0600-0699,0627. 变更性别,变更性别,https://leetcode.com/problems/swap-salary/,swap-salary,数据库,https://2xiao.github.io/fe/leetcode/problem/0627,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0627.md,82.1%,简单,653
0628,0600-0699,0628. 三个数的最大乘积,三个数的最大乘积,https://leetcode.com/problems/maximum-product-of-three-numbers/,maximum-product-of-three-numbers,数组、数学、排序,https://2xiao.github.io/fe/leetcode/problem/0628,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0628.md,52.0%,简单,1090
0629,0600-0699,0629. K 个逆序对数组,K 个逆序对数组,https://leetcode.com/problems/k-inverse-pairs-array/,k-inverse-pairs-array,动态规划,https://2xiao.github.io/fe/leetcode/problem/0629,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0629.md,51.1%,困难,212
0630,0600-0699,0630. 课程表 III,课程表 III,https://leetcode.com/problems/course-schedule-iii/,course-schedule-iii,贪心、数组、堆（优先队列）,https://2xiao.github.io/fe/leetcode/problem/0630,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0630.md,46.2%,困难,267
0631,0600-0699,0631. 设计 Excel 求和公式,设计 Excel 求和公式,https://leetcode.com/problems/design-excel-sum-formula/,design-excel-sum-formula,图、设计、拓扑排序,https://2xiao.github.io/fe/leetcode/problem/0631,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0631.md,33.4%,困难,48
0632,0600-0699,0632. 最小区间,最小区间,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists/,smallest-range-covering-elements-from-k-lists,贪心、数组、哈希表、排序、滑动窗口、堆（优先队列）,https://2xiao.github.io/fe/leetcode/problem/0632,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0632.md,60.7%,困难,313
0633,0600-0699,0633. 平方数之和,平方数之和,https://leetcode.com/problems/sum-of-square-numbers/,sum-of-square-numbers,数学、双指针、二分查找,https://2xiao.github.io/fe/leetcode/problem/0633,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0633.md,38.3%,中等,1032
0634,0600-0699,0634. 寻找数组的错位排列,寻找数组的错位排列,https://leetcode.com/problems/find-the-derangement-of-an-array/,find-the-derangement-of-an-array,数学、动态规划,https://2xiao.github.io/fe/leetcode/problem/0634,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0634.md,47.4%,中等,35
0635,0600-0699,0635. 设计日志存储系统,设计日志存储系统,https://leetcode.com/problems/design-log-storage-system/,design-log-storage-system,设计、哈希表、字符串、有序集合,https://2xiao.github.io/fe/leetcode/problem/0635,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0635.md,56.3%,中等,108
0636,0600-0699,0636. 函数的独占时间,函数的独占时间,https://leetcode.com/problems/exclusive-time-of-functions/,exclusive-time-of-functions,栈、数组,https://2xiao.github.io/fe/leetcode/problem/0636,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0636.md,66.0%,中等,348
0637,0600-0699,0637. 二叉树的层平均值,二叉树的层平均值,https://leetcode.com/problems/average-of-levels-in-binary-tree/,average-of-levels-in-binary-tree,树、深度优先搜索、广度优先搜索、二叉树,https://2xiao.github.io/fe/leetcode/problem/0637,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0637.md,69.8%,简单,1059
0638,0600-0699,0638. 大礼包,大礼包,https://leetcode.com/problems/shopping-offers/,shopping-offers,位运算、记忆化搜索、数组、动态规划、回溯、状态压缩,https://2xiao.github.io/fe/leetcode/problem/0638,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0638.md,62.9%,中等,338
0639,0600-0699,0639. 解码方法 II,解码方法 II,https://leetcode.com/problems/decode-ways-ii/,decode-ways-ii,字符串、动态规划,https://2xiao.github.io/fe/leetcode/problem/0639,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0639.md,37.4%,困难,322
0640,0600-0699,0640. 求解方程,求解方程,https://leetcode.com/problems/solve-the-equation/,solve-the-equation,数学、字符串、模拟,https://2xiao.github.io/fe/leetcode/problem/0640,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0640.md,44.6%,中等,711
0641,0600-0699,0641. 设计循环双端队列,设计循环双端队列,https://leetcode.com/problems/design-circular-deque/,design-circular-deque,设计、队列、数组、链表,https://2xiao.github.io/fe/leetcode/problem/0641,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0641.md,57.1%,中等,647
0642,0600-0699,0642. 设计搜索自动补全系统,设计搜索自动补全系统,https://leetcode.com/problems/design-search-autocomplete-system/,design-search-autocomplete-system,设计、字典树、字符串、数据流,https://2xiao.github.io/fe/leetcode/problem/0642,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0642.md,56.1%,困难,91
0643,0600-0699,0643. 子数组最大平均数 I,子数组最大平均数 I,https://leetcode.com/problems/maximum-average-subarray-i/,maximum-average-subarray-i,数组、滑动窗口,https://2xiao.github.io/fe/leetcode/problem/0643,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0643.md,43.4%,简单,912
0644,0600-0699,0644. 子数组最大平均数 II,子数组最大平均数 II,https://leetcode.com/problems/maximum-average-subarray-ii/,maximum-average-subarray-ii,数组、二分查找、前缀和,https://2xiao.github.io/fe/leetcode/problem/0644,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0644.md,44.4%,困难,41
0645,0600-0699,0645. 错误的集合,错误的集合,https://leetcode.com/problems/set-mismatch/,set-mismatch,位运算、数组、哈希表、排序,https://2xiao.github.io/fe/leetcode/problem/0645,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0645.md,39.7%,简单,1049
0646,0600-0699,0646. 最长数对链,最长数对链,https://leetcode.com/problems/maximum-length-of-pair-chain/,maximum-length-of-pair-chain,贪心、数组、动态规划、排序,https://2xiao.github.io/fe/leetcode/problem/0646,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0646.md,62.3%,中等,649
0647,0600-0699,0647. 回文子串,回文子串,https://leetcode.com/problems/palindromic-substrings/,palindromic-substrings,字符串、动态规划,https://2xiao.github.io/fe/leetcode/problem/0647,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0647.md,66.9%,中等,1716
0648,0600-0699,0648. 单词替换,单词替换,https://leetcode.com/problems/replace-words/,replace-words,字典树、数组、哈希表、字符串,https://2xiao.github.io/fe/leetcode/problem/0648,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0648.md,64.0%,中等,823
0649,0600-0699,0649. Dota2 参议院,Dota2 参议院,https://leetcode.com/problems/dota2-senate/,dota2-senate,贪心、队列、字符串,https://2xiao.github.io/fe/leetcode/problem/0649,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0649.md,48.2%,中等,417
0650,0600-0699,0650. 只有两个键的键盘,只有两个键的键盘,https://leetcode.com/problems/2-keys-keyboard/,2-keys-keyboard,数学、动态规划,https://2xiao.github.io/fe/leetcode/problem/0650,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0650.md,57.7%,中等,788
0651,0600-0699,0651. 4键键盘,4键键盘,https://leetcode.com/problems/4-keys-keyboard/,4-keys-keyboard,数学、动态规划,https://2xiao.github.io/fe/leetcode/problem/0651,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0651.md,59.7%,中等,98
0652,0600-0699,0652. 寻找重复的子树,寻找重复的子树,https://leetcode.com/problems/find-duplicate-subtrees/,find-duplicate-subtrees,树、深度优先搜索、哈希表、二叉树,https://2xiao.github.io/fe/leetcode/problem/0652,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0652.md,61.3%,中等,645
0653,0600-0699,0653. 两数之和 IV - 输入二叉搜索树,两数之和 IV - 输入二叉搜索树,https://leetcode.com/problems/two-sum-iv-input-is-a-bst/,two-sum-iv-input-is-a-bst,树、深度优先搜索、广度优先搜索、二叉搜索树、哈希表、双指针、二叉树,https://2xiao.github.io/fe/leetcode/problem/0653,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0653.md,63.5%,简单,985
0654,0600-0699,0654. 最大二叉树,最大二叉树,https://leetcode.com/problems/maximum-binary-tree/,maximum-binary-tree,栈、树、数组、分治、二叉树、单调栈,https://2xiao.github.io/fe/leetcode/problem/0654,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0654.md,82.6%,中等,1602
0655,0600-0699,0655. 输出二叉树,输出二叉树,https://leetcode.com/problems/print-binary-tree/,print-binary-tree,树、深度优先搜索、广度优先搜索、二叉树,https://2xiao.github.io/fe/leetcode/problem/0655,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0655.md,69.7%,中等,510
0656,0600-0699,0656. 金币路径,金币路径,https://leetcode.com/problems/coin-path/,coin-path,数组、动态规划,https://2xiao.github.io/fe/leetcode/problem/0656,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0656.md,34.3%,困难,35
0657,0600-0699,0657. 机器人能否返回原点,机器人能否返回原点,https://leetcode.com/problems/robot-return-to-origin/,robot-return-to-origin,字符串、模拟,https://2xiao.github.io/fe/leetcode/problem/0657,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0657.md,79.0%,简单,835
0658,0600-0699,0658. 找到 K 个最接近的元素,找到 K 个最接近的元素,https://leetcode.com/problems/find-k-closest-elements/,find-k-closest-elements,数组、双指针、二分查找、排序、滑动窗口、堆（优先队列）,https://2xiao.github.io/fe/leetcode/problem/0658,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0658.md,47.9%,中等,827
0659,0600-0699,0659. 分割数组为连续子序列,分割数组为连续子序列,https://leetcode.com/problems/split-array-into-consecutive-subsequences/,split-array-into-consecutive-subsequences,贪心、数组、哈希表、堆（优先队列）,https://2xiao.github.io/fe/leetcode/problem/0659,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0659.md,54.7%,中等,389
0660,0600-0699,0660. 移除 9,移除 9,https://leetcode.com/problems/remove-9/,remove-9,数学,https://2xiao.github.io/fe/leetcode/problem/0660,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0660.md,65.0%,困难,40
0661,0600-0699,0661. 图片平滑器,图片平滑器,https://leetcode.com/problems/image-smoother/,image-smoother,数组、矩阵,https://2xiao.github.io/fe/leetcode/problem/0661,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0661.md,64.2%,简单,571
0662,0600-0699,0662. 二叉树最大宽度,二叉树最大宽度,https://leetcode.com/problems/maximum-width-of-binary-tree/,maximum-width-of-binary-tree,树、深度优先搜索、广度优先搜索、二叉树,https://2xiao.github.io/fe/leetcode/problem/0662,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0662.md,43.6%,中等,830
0663,0600-0699,0663. 均匀树划分,均匀树划分,https://leetcode.com/problems/equal-tree-partition/,equal-tree-partition,树、深度优先搜索、二叉树,https://2xiao.github.io/fe/leetcode/problem/0663,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0663.md,46.0%,中等,59
0664,0600-0699,0664. 奇怪的打印机,奇怪的打印机,https://leetcode.com/problems/strange-printer/,strange-printer,字符串、动态规划,https://2xiao.github.io/fe/leetcode/problem/0664,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0664.md,65.3%,困难,236
0665,0600-0699,0665. 非递减数列,非递减数列,https://leetcode.com/problems/non-decreasing-array/,non-decreasing-array,数组,https://2xiao.github.io/fe/leetcode/problem/0665,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0665.md,27.7%,中等,1195
0666,0600-0699,0666. 路径总和 IV,路径总和 IV,https://leetcode.com/problems/path-sum-iv/,path-sum-iv,树、深度优先搜索、数组、二叉树,https://2xiao.github.io/fe/leetcode/problem/0666,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0666.md,62.7%,中等,110
0667,0600-0699,0667. 优美的排列 II,优美的排列 II,https://leetcode.com/problems/beautiful-arrangement-ii/,beautiful-arrangement-ii,数组、数学,https://2xiao.github.io/fe/leetcode/problem/0667,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0667.md,66.7%,中等,519
0668,0600-0699,0668. 乘法表中第k小的数,乘法表中第k小的数,https://leetcode.com/problems/kth-smallest-number-in-multiplication-table/,kth-smallest-number-in-multiplication-table,数学、二分查找,https://2xiao.github.io/fe/leetcode/problem/0668,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0668.md,58.6%,困难,278
0669,0600-0699,0669. 修剪二叉搜索树,修剪二叉搜索树,https://leetcode.com/problems/trim-a-binary-search-tree/,trim-a-binary-search-tree,树、深度优先搜索、二叉搜索树、二叉树,https://2xiao.github.io/fe/leetcode/problem/0669,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0669.md,67.5%,中等,933
0670,0600-0699,0670. 最大交换,最大交换,https://leetcode.com/problems/maximum-swap/,maximum-swap,贪心、数学,https://2xiao.github.io/fe/leetcode/problem/0670,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0670.md,47.9%,中等,936
0671,0600-0699,0671. 二叉树中第二小的节点,二叉树中第二小的节点,https://leetcode.com/problems/second-minimum-node-in-a-binary-tree/,second-minimum-node-in-a-binary-tree,树、深度优先搜索、二叉树,https://2xiao.github.io/fe/leetcode/problem/0671,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0671.md,48.0%,简单,862
0672,0600-0699,0672. 灯泡开关 Ⅱ,灯泡开关 Ⅱ,https://leetcode.com/problems/bulb-switcher-ii/,bulb-switcher-ii,位运算、深度优先搜索、广度优先搜索、数学,https://2xiao.github.io/fe/leetcode/problem/0672,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0672.md,60.8%,中等,263
0673,0600-0699,0673. 最长递增子序列的个数,最长递增子序列的个数,https://leetcode.com/problems/number-of-longest-increasing-subsequence/,number-of-longest-increasing-subsequence,树状数组、线段树、数组、动态规划,https://2xiao.github.io/fe/leetcode/problem/0673,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0673.md,44.6%,中等,653
